Timestamp,UnixTime,SessionTime_s,EventType,ClipName
2026-07-02 16:14:20.466,1782989060.467,1.577,BACKGROUND_START,
2026-07-02 16:14:57.115,1782989097.116,38.271,AUDIO_START,ruke kyu ho
2026-07-02 16:14:58.597,1782989098.597,39.754,AUDIO_END,ruke kyu ho
