Time(ms),Zone,Speed(M/s),ID,Status,Step,Yaw,Pitch,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,NearestCarId,NearestCarType,NearestCarDistance,NearestCar_Speed,NearestCarPos_X,NearestCarPos_Y,NearestCarPos_Z
5.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.900,None,None,,,,,
5.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.500,None,None,,,,,
5.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.500,None,None,,,,,
6.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-17.500,None,None,,,,,
6.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-16.800,None,None,,,,,
6.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-15.700,None,None,,,,,
6.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-15.400,None,None,,,,,
6.70,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-15.000,None,None,,,,,
6.80,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-14.300,None,None,,,,,
6.90,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-13.900,None,None,,,,,
7.00,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-12.900,None,None,,,,,
7.10,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-12.200,None,None,,,,,
7.20,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-11.700,None,None,,,,,
7.30,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-11.400,None,None,,,,,
7.40,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-10.700,None,None,,,,,
7.50,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-10.300,None,None,,,,,
7.60,Unknown,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-9.600,None,None,,,,,
7.70,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-9.600,None,None,,,,,
7.80,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-9.600,None,None,,,,,
7.90,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-9.600,None,None,,,,,
8.00,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-9.500,None,None,,,,,
8.10,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-8.200,None,None,,,,,
8.20,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-8.200,None,None,,,,,
8.30,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-8.200,None,None,,,,,
8.40,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-8.200,None,None,,,,,
8.50,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-8.200,None,None,,,,,
8.60,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-8.200,None,None,,,,,
8.70,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
8.80,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
8.90,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.00,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.10,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.20,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.30,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.40,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.50,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.60,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.70,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
9.80,WaitingPoint,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-7.000,None,None,,,,,
