Time(ms),Zone,Speed(M/s),ID,Status,Step,Yaw,Pitch,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,NearestCarId,NearestCarType,NearestCarDistance,NearestCar_Speed,NearestCarPos_X,NearestCarPos_Y,NearestCarPos_Z
26.80,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
26.90,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.00,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.10,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.20,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.30,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.40,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.50,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.60,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.70,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.80,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
27.90,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.00,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.10,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.20,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.30,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.40,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.50,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.60,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.70,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.80,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
28.90,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.00,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.10,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.20,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.30,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.40,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.50,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.60,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.70,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.80,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
29.90,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
30.00,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
30.10,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
30.20,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
30.30,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
30.40,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
30.50,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
30.60,FootPath,0.522,id,Walking,0.00,187.17,0.00,-43.800,1.000,-45.700,None,None,,,,,
